citation,exp,latitude,longitude,z,gs_mat,gs_map,gs_par,gs_ai,ecosystem_type,experiment_type,species,family,growth_form,growth_duration,photo_path,n_fixer,myc_assoc,response,gNi,vNi,wNi,gPi,vPi,wPi,gNPi,vNPi,wNPi,dNi,dvNi,dwNi,dPi,dvPi,dwPi,dNPi,dvNPi,dwNPi,dNPi_se
aerts2003,bovenpolder_fnp,51.85,5.62,6,9.650000036,64.16666667,477.6527778,1.559625,grassland,field,NA,NA,NA,NA,NA,NA,NA,anpp_n,0.294030668,0.673871169,1.483963175,-0.2870828,0.673534711,1.484704475,1.218523697,0.7904,1.265182186,1.040807114,0.344617494,2.90176795,0.3311659,0.334475738,2.989753475,0.756950628,0.339301815,2.94722856,0.336304334
aerts2003,bethunepolder_fnp,52.07,5.58,8,9.674999813,67.33333333,473.755787,1.813916667,grassland,field,NA,NA,NA,NA,NA,NA,NA,anpp_n,1.011928851,0.752,1.329787234,0.62549603,0.69927044,1.430061879,0.640954196,0.700901857,1.426733273,0.766412511,0.33945196,2.945924957,0.170313891,0.333635488,2.997283073,-0.59609862,0.337034725,2.967053324,0.33517892
aerts2003,bovenpolder_fnp,51.85,5.62,6,9.650000036,64.16666667,477.6527778,1.559625,grassland,field,NA,NA,NA,NA,NA,NA,NA,anpp_p,0.232102544,0.671155966,1.489966641,0.096974644,0.66745034,1.498238805,1.188950824,0.784467005,1.274750874,0.754274431,0.339259687,2.94759454,0.574149193,0.336767159,2.969410681,0.439055266,0.335341349,2.982036072,0.334335834
aerts2003,bethunepolder_fnp,52.07,5.58,8,9.674999813,67.33333333,473.755787,1.813916667,grassland,field,NA,NA,NA,NA,NA,NA,NA,anpp_p,1.083656738,0.764525994,1.308,4.052721858,2.035379538,0.49130886,3.670159004,1.78917226,0.558917675,-1.052951292,0.344882359,2.899539438,3.860821403,0.488603561,2.046649019,-1.554356669,0.358500257,2.789398281,0.345687844
aerts2003,bovenpolder_fnp,51.85,5.62,6,9.650000036,64.16666667,477.6527778,1.559625,grassland,field,NA,NA,NA,NA,NA,NA,NA,anpp,1.186146635,0.783911987,1.275653411,-0.237131657,0.671352619,1.4895302,1.430870433,0.837282516,1.194339999,1.56090431,0.358712732,2.787746046,0.406145748,0.335051608,2.984614836,0.634457125,0.337526415,2.96273108,0.335423322
aerts2003,bethunepolder_fnp,52.07,5.58,8,9.674999813,67.33333333,473.755787,1.813916667,grassland,field,NA,NA,NA,NA,NA,NA,NA,anpp,2.419830804,1.15463176,0.866076991,2.146820738,1.050736607,0.951713297,0.403059515,0.680204748,1.470145575,0.543779969,0.336413507,2.972532255,0.022951752,0.333338821,2.999950615,-2.152168122,0.381581538,2.620671864,0.356642462
augustine2003,mpalaRanch_fnp,0.28,37.88,1775,18.58333317,169.4166667,868.2025463,1.287475,grassland,field,NA,NA,NA,NA,NA,NA,NA,anpp,0.115177883,0.500829122,1.996689004,1.148365964,0.582421524,1.716969512,4.815978952,1.949603329,0.512924853,1.301332771,0.263230211,3.798956043,2.815870944,0.311946322,3.205679729,1.194686709,0.261150596,3.829208181,0.255514479
aydin2005,ondokuz_fnp,41.35,36.25,4,14.09999986,57.16666667,697.5127315,0.750391667,grassland,field,NA,NA,NA,NA,NA,NA,NA,anpp,7.404924645,3.927056812,0.25464363,5.887782946,2.666624251,0.375005965,23.57378914,35.23272091,0.028382707,10.02784418,1.035606711,0.965617536,6.395877042,0.569587837,1.755655467,1.079087481,0.259097108,3.859556784,0.254507911
bennett2001,hamersley_fnp,-22.28,117.67,606,24.5,33.91666667,1078.457755,0.130541667,grassland,field,NA,NA,NA,NA,NA,NA,NA,anpp,0.749970311,0.356768978,2.802934286,-1.191618417,0.392498102,2.54778302,1.183179037,0.391663026,2.55321522,1.585192168,0.179754345,5.563147866,-0.275964629,0.167063315,5.985754563,0.699538244,0.169215384,5.909628165,0.16793619
blanke2012,alpflix_fnp,46.53,9.65,2029,6.550000072,122.8333333,836.005787,1.44815,grassland,field,NA,NA,NA,NA,NA,NA,NA,anpp,1.116917884,0.243940205,4.099365256,0.506419713,0.206411523,4.844690765,1.933306444,0.309470948,3.231321085,1.349391702,0.11154522,8.964974033,0.678159059,0.107068384,9.339825324,0.158048211,0.105637724,9.466315263,0.108339858
blanke2012,alpflix_fnp,46.53,9.65,2029,6.550000072,122.8333333,836.005787,1.44815,grassland,field,NA,NA,NA,NA,NA,NA,NA,anpp_n,1.131723028,0.244816296,4.084695414,-0.021856208,0.200011942,4.999701459,1.370137993,0.260513167,3.838577574,1.33469348,0.111415446,8.975416212,0.06987924,0.105571618,9.472242777,0.090843012,0.105582702,9.471248444,0.10831164
blanke2012,alpflix_fnp,46.53,9.65,2029,6.550000072,122.8333333,836.005787,1.44815,grassland,field,NA,NA,NA,NA,NA,NA,NA,anpp_p,0.615088636,0.22106727,4.523509974,2.49953173,0.356191472,2.807478784,4.046222928,0.641951111,1.557751024,0.765716509,0.107484246,9.303689061,2.9607705,0.134391615,7.44094044,0.306286603,0.105864146,9.446068741,0.108455903
