citation,exp,latitude,longitude,z,gs_mat,gs_map,gs_par,gs_ai,ecosystem_type,experiment_type,species,family,growth_form,growth_duration,photo_path,n_fixer,myc_assoc,response,gNi,vNi,wNi,gPi,vPi,wPi,gNPi,vNPi,wNPi,dNi,dvNi,dwNi,dPi,dvPi,dwPi,dNPi,dvNPi,dwNPi,dNPi_se
boeye1997,buitengoor1992_fnp,51.2,5.17,36,10.2833334,67,480.7274306,1.455125,wetland,field,NA,NA,NA,NA,NA,NA,NA,anpp,-0.659847341,0.421769926,2.370960894,1.060048429,0.456185134,2.192092478,2.604579511,0.739191721,1.352829004,0.840498248,0.204415233,4.892003324,2.263922699,0.232033412,4.309724145,1.220078101,0.209303691,4.777746607,0.204598969
boeye1997,goorken1993_fnp,51.32,5.12,27,10.09166684,65.75,479.7390046,1.50735,wetland,field,NA,NA,NA,NA,NA,NA,NA,anpp,0.720893904,0.425984401,2.3475038,-0.21690593,0.402352409,2.485383404,0.632496941,0.420002619,2.380937534,0.957427787,0.205729175,4.860759302,-0.140339578,0.200123095,4.996924518,0.090441061,0.200051122,4.998722266,0.20002556
boeye1997,zwarteBeek1992_fnp,51.08,5.3,56,10.0999999,68.83333333,483.3038194,1.552766667,wetland,field,NA,NA,NA,NA,NA,NA,NA,anpp,1.669337244,0.539334342,1.854137448,-0.420405737,0.408837049,2.445962278,0.47568005,0.411313575,2.431235096,1.050506237,0.206897271,4.833316531,-0.60569729,0.202292933,4.94332643,-0.160888343,0.200161782,4.995958729,0.200080874
borer2013,sedgwick2013_fnp,34.7,-119.88,1122,12.75833329,49.75,883.3084491,0.490516667,grassland,field,NA,NA,NA,NA,NA,NA,NA,anpp,-0.259554554,0.672280714,1.487473877,2.211125093,1.074089515,0.931021099,1.437862036,0.838953936,1.191960556,-0.524645388,0.33620055,2.974415124,1.869889974,0.369755089,2.704492867,-0.227346335,0.333871733,2.995162218,0.333602424
bowman1993,niwotRidge_fnp,40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,tundra,field,kobresia_myosuroides,cyperaceae,graminoid,perennial,c3,no,EcM,leaf_n_mass,4.352773826,0.449110666,2.22662269,-0.682100256,0.141087679,7.087791115,1.177805651,0.156453769,6.391664484,2.317439043,0.077855258,12.84434769,-0.761897768,0.067876017,14.73274424,-0.380948884,0.066969004,14.93228115,0.066817664
bowman1993,niwotRidge_fnp,40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,tundra,field,carex_scopulorum,cyperaceae,graminoid,perennial,c3,no,NM-AM,leaf_n_mass,1.568466751,0.174334799,5.736089437,0.182343419,0.133887485,7.468957963,1.390231893,0.165545745,6.040626404,1.20532433,0.069693347,14.34857182,0.015653563,0.066667177,14.99988514,-0.17218919,0.066728436,14.98611484,0.066697544
bowman1993,niwotRidge_fnp,40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,tundra,field,bistorta_bisotortoides,polygonaceae,forb,perennial,c3,no,NM-AM,leaf_n_mass,1.598918508,0.17594234,5.683680235,-0.576446254,0.138871505,7.200901307,1.048903214,0.151669966,6.59326317,1.451849381,0.071058055,14.07299979,-0.45629552,0.067100428,14.90303452,0.22814776,0.066775107,14.97564053,0.066720865
bowman1993,niwotRidge_fnp,40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,tundra,field,caltha_leptosepala,ranunculaceae,forb,perennial,c3,no,NM-AM,leaf_n_mass,0.140660583,0.13366309,7.481496949,-0.3196184,0.135035932,7.405436353,0.881326527,0.146278941,6.836254041,0.511684007,0.067212126,14.87826763,0.048272076,0.066671521,14.9989078,0.395831024,0.066993088,14.92691308,0.066829678
bowman1993,niwotRidge_fnp,40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,tundra,field,kobresia_myosuroides,cyperaceae,graminoid,perennial,c3,no,EcM,leaf_p_mass,-2.09897269,0.206761439,4.836491775,1.457715944,0.16874893,5.925963516,1.164256473,0.155924886,6.413344452,-1.015972907,0.068817085,14.53127513,1.289083904,0.070128619,14.25951357,-0.77563523,0.067920021,14.72319925,0.067290426
bowman1993,niwotRidge_fnp,40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,tundra,field,carex_scopulorum,cyperaceae,graminoid,perennial,c3,no,NM-AM,leaf_p_mass,0.508546813,0.137643664,7.265136428,1.712965398,0.182237508,5.487344583,11.96502365,2.519363182,0.396925702,0.429164892,0.06705038,14.91415853,2.73885231,0.0822944,12.15149513,0.288710927,0.066840321,14.96102932,0.066753437
bowman1993,niwotRidge_fnp,40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,tundra,field,bistorta_bisotortoides,polygonaceae,forb,perennial,c3,no,NM-AM,leaf_p_mass,0.56799382,0.138710283,7.209270851,0.853024953,0.14546086,6.874701575,1.228398234,0.158482704,6.309836826,0.087336204,0.066682558,14.99642541,1.002182942,0.068759106,14.54352834,0.041484697,0.066670252,14.99919333,0.066668459
bowman1993,niwotRidge_fnp,40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,tundra,field,caltha_leptosepala,ranunculaceae,forb,perennial,c3,no,NM-AM,leaf_p_mass,0.15435052,0.133730401,7.477731239,0.666381071,0.140734396,7.105583509,0.967435934,0.148932205,6.714464488,-0.030266674,0.066668575,14.9995706,0.595244594,0.067404825,14.83573314,-0.151333371,0.066714379,14.98927246,0.066690518
bowman1993,niwotRidge_fnp,40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,tundra,field,carex_scopulorum,cyperaceae,graminoid,perennial,c3,no,NM-AM,asat,0.250553288,0.134379616,7.441604843,0.116384919,0.133559091,7.487322606,0.553480108,0.138439004,7.223397831,0.32163655,0.066882188,14.95166404,0.229740393,0.066776626,14.97529981,0.091896157,0.06668426,14.9960425,0.066675463
bowman1993,niwotRidge_fnp,40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,tundra,field,bistorta_bisotortoides,polygonaceae,forb,perennial,c3,no,NM-AM,asat,-0.177184611,0.133856573,7.470682812,-0.118123074,0.133565884,7.486941781,-0.172061969,0.133826755,7.472347345,-0.128473488,0.066701053,14.99226706,-0.05839704,0.066673771,14.99840163,0.081755856,0.066680592,14.99686752,0.066673629
bowman1993,niwotRidge_fnp,40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,tundra,field,caltha_leptosepala,ranunculaceae,forb,perennial,c3,no,NM-AM,asat,0.458453414,0.136836326,7.308000972,0.708518912,0.141699984,7.05716381,0.669425756,0.140802181,7.102162729,0.281227122,0.066831435,14.96301858,0.52227894,0.067234949,14.87321731,-0.160701212,0.066720468,14.98790435,0.066693562
bowman1993,niwotRidge_fnp,40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,tundra,field,NA,NA,NA,NA,NA,NA,NA,tbio_gm2,1.154686575,0.466665054,2.142864546,0.651561726,0.421226634,2.374018922,6.395731227,2.445268897,0.408952979,1.001579971,0.206269765,4.848020256,0.853197753,0.204549665,4.888788255,0.051933776,0.200016857,4.999578611,0.200008428
bowman1993,niwotRidge_fnp,40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,tundra,field,NA,NA,NA,NA,NA,NA,NA,bnpp,0.596436969,0.417786853,2.393565027,0.642990753,0.420671855,2.37714976,0.4040805,0.408164053,2.449995275,0.081114814,0.200041123,4.998972147,0.293119441,0.200536994,4.986611104,-0.545681475,0.201861052,4.953902655,0.200928371
bowman1993,niwotRidge_fnp,40.058,-105.583,3471,6.083333453,54.66666667,966.875,0.40355,tundra,field,NA,NA,NA,NA,NA,NA,NA,rootshoot,-0.364445937,0.406641042,2.459171349,0.378825619,0.407175442,2.455943792,-1.377152542,0.494827456,2.020906454,-0.801904347,0.204019066,4.901502683,-0.012221285,0.200000933,4.999976663,-0.551838044,0.201903283,4.952866475,0.200949388
craine2008,pretoriuskop_fnp,-25.1287,31.2337,569,20.89166681,60,861.1782407,0.388591667,grassland,field,NA,NA,NA,NA,NA,NA,NA,anpp,0.466373927,0.25679702,3.894126186,-0.049146351,0.25007548,3.998792683,0.656631957,0.263473923,3.795442029,0.602873068,0.12641975,7.910156459,0.061839883,0.125014938,7.999044071,0.110785492,0.125047943,7.99693282,0.125023969
craine2008,pretoriuskop_fnp,-25.1287,31.2337,569,20.89166681,60,861.1782407,0.388591667,grassland,field,NA,NA,NA,NA,NA,NA,NA,bnpp,0.124105242,0.250481316,3.992313743,0.288257493,0.252596637,3.958880894,0.085635075,0.250229168,3.996336675,-0.075088284,0.125022024,7.998590686,0.133549876,0.12506967,7.995543591,-0.183429951,0.125131432,7.991597198,0.125065699
craine2008,letaba_fnp,-23.7559,31.4335,270,22.69999997,39.25,870.4305556,0.241391667,grassland,field,NA,NA,NA,NA,NA,NA,NA,anpp,0.431637107,0.255822206,3.908964806,0.891138944,0.274816519,3.638791447,0.899450024,0.275281573,3.632644162,0.402404267,0.125632536,7.959721522,0.722845869,0.12704104,7.871472107,0.142161231,0.125078945,7.994950735,0.125039466
craine2008,letaba_fnp,-23.7559,31.4335,270,22.69999997,39.25,870.4305556,0.241391667,grassland,field,NA,NA,NA,NA,NA,NA,NA,bnpp,-0.15941286,0.250794139,3.987334004,0.985315593,0.280338963,3.56711029,0.192243812,0.251154928,3.981606133,-0.21138566,0.125174546,7.988844603,0.466691509,0.125850785,7.945917857,-0.132392513,0.125068468,7.995620454,0.125034229
craine2008,makhohlola_fnp,-25.2962,31.914,198,22.33333333,50.66666667,819.7818287,0.330758333,grassland,field,NA,NA,NA,NA,NA,NA,NA,anpp,0.307683097,0.252958403,3.953219142,0.01193951,0.250004455,3.999928725,1.118219083,0.289075435,3.459304663,0.730575305,0.127084923,7.868754033,0.45258235,0.12580012,7.949117998,0.442149943,0.125763658,7.951422629,0.125381248
craine2008,makhohlola_fnp,-25.2962,31.914,198,22.33333333,50.66666667,819.7818287,0.330758333,grassland,field,NA,NA,NA,NA,NA,NA,NA,bnpp,0.137443004,0.250590331,3.990576961,-0.012630043,0.250004985,3.999920243,0.114718458,0.25041126,3.993430645,0.12721006,0.125063212,7.995956445,-0.02959838,0.125003422,7.99978099,-0.019522336,0.125001489,7.999904721,0.125000744
craine2008,satara_fnp,-24.4044,31.7486,299,22.04166667,46.83333333,846.505787,0.306925,grassland,field,NA,NA,NA,NA,NA,NA,NA,anpp,0.330192171,0.25340709,3.946219505,0.005986806,0.25000112,3.999982079,0.858802823,0.273048197,3.662357095,0.674688732,0.126778144,7.887794913,0.412474456,0.125664591,7.95769115,0.407914208,0.125649977,7.958616685,0.125324567
craine2008,satara_fnp,-24.4044,31.7486,299,22.04166667,46.83333333,846.505787,0.306925,grassland,field,NA,NA,NA,NA,NA,NA,NA,bnpp,-0.37884877,0.2544852,3.929501602,0.031684233,0.250031372,3.999498118,-0.172864483,0.250933817,3.985114536,-0.335304172,0.125439175,7.971991184,0.149963304,0.125087848,7.9943817,0.111141906,0.125048252,7.996913061,0.125024124
craine2008,nwashitsumbe_fnp,-22.78,31.2508,386,23.11666632,42.41666667,890.4704861,0.246266667,grassland,field,NA,NA,NA,NA,NA,NA,NA,anpp,0.02524078,0.250019909,3.999681477,-0.530240934,0.258786108,3.864195063,0.174211388,0.250948425,3.984882547,0.337028584,0.125443704,7.971703376,-0.131475488,0.125067523,7.995680882,0.310537254,0.125376693,7.975964087,0.125188205
craine2008,nwashitsumbe_fnp,-22.78,31.2508,386,23.11666632,42.41666667,890.4704861,0.246266667,grassland,field,NA,NA,NA,NA,NA,NA,NA,bnpp,0.679546002,0.264430712,3.781708993,0.480267009,0.257208013,3.887903764,0.255072701,0.25203319,3.967731392,0.187137279,0.125136798,7.991254481,0.062379093,0.1250152,7.99902733,-0.499032744,0.125972788,7.938222352,0.125485451
dantonio2006,volcanoNP_fnp,19.1,-155.55,148,22.77500025,172.5,859.9386574,0.951816667,forest,field,melinis_minutiflora,poaceae,graminoid,perennial,c4,no,AM,bgb,1.669985227,0.539442533,1.85376558,0.432843906,0.409367692,2.442791697,1.505105877,0.513267185,1.948303007,1.590590611,0.215812366,4.633654783,0.133829003,0.200111939,4.997203096,-0.161252979,0.200162516,4.995940404,0.200081241
dantonio2006,volcanoNP_fnp,19.1,-155.55,148,22.77500025,172.5,859.9386574,0.951816667,forest,field,melinis_minutiflora,poaceae,graminoid,perennial,c4,no,AM,leaf_n_mass,1.754785302,0.553963573,1.805172847,1.169856868,0.468428255,2.134798638,-0.043864523,0.400096205,2.499398864,0.353084761,0.20077918,4.980596088,-0.403525441,0.201017705,4.974686188,-1.916745845,0.222961966,4.485069879,0.211169111
dantonio2006,volcanoNP_fnp,19.1,-155.55,148,22.77500025,172.5,859.9386574,0.951816667,forest,field,melinis_minutiflora,poaceae,graminoid,perennial,c4,no,AM,leaf_p_mass,-1.754580913,0.553927709,1.805289723,0.748476843,0.428010879,2.33638921,-0.420674197,0.408848339,2.445894735,-1.831798236,0.22097178,4.525464748,1.373848677,0.211796626,4.721510527,0.457949559,0.201310736,4.967444949,0.200654298
dantonio2006,volcanoNP_fnp,19.1,-155.55,148,22.77500025,172.5,859.9386574,0.951816667,forest,field,melinis_minutiflora,poaceae,graminoid,perennial,c4,no,AM,lma,-1.169372606,0.468371615,2.135056799,-0.482306321,0.411630969,2.429360457,-1.510647137,0.514102739,1.945136497,-1.001071946,0.206263407,4.848169711,-0.47356098,0.201401625,4.965203235,0.077927756,0.200037955,4.999051315,0.200018976
davidson2004,fazendaVitoria_fnp,-2.98,-47.52,136,25.9416666,165.5833333,770.6197917,1.617808333,forest,field,NA,NA,NA,NA,NA,NA,NA,anpp,5.069947079,2.106522711,0.474715983,5.56493582,2.435531917,0.410587927,6.965131012,3.532065626,0.283120447,2.058547265,0.283106382,3.532241112,5.172425722,0.45901553,2.178575526,-2.853302854,0.313604197,3.188732837,0.280001874
davidson2004,fazendaVitoria_fnp,-2.98,-47.52,136,25.9416666,165.5833333,770.6197917,1.617808333,forest,field,NA,NA,NA,NA,NA,NA,NA,tla,0.594791531,0.52211106,1.915301314,2.967788211,1.050485429,0.951940857,5.360188912,2.295726573,0.435591944,1.769034257,0.27444908,3.643663156,4.687028908,0.421626875,2.37176532,1.112485461,0.259668937,3.851057476,0.254788607
dong2016a,baingoin_fnp,31.433,90.033,4705,6.433333288,67.16666667,930.7488426,0.520733333,grassland,field,NA,NA,NA,NA,NA,NA,NA,anpp,0.425214717,0.511300472,1.955797137,0.725075291,0.532858386,1.876671225,1.309153552,0.607117689,1.647127103,0.763307026,0.254551856,3.928472627,1.048046276,0.258581258,3.867256307,0.547179643,0.252339106,3.962921229,0.25116683
eller2017,flottbek_fnp,NA,NA,NA,NA,NA,NA,NA,NA,greenhouse,fraxinus_excelsior,oleaceae,tree,perennial,c3,no,AM,bgb,0.838611769,0.435163485,2.297986928,-0.274028107,0.40375457,2.476752151,1.379927254,0.495209961,2.019345486,1.129375298,0.207971804,4.808344127,-0.177256213,0.200196374,4.995095477,0.011817081,0.200000873,4.999978181,0.200000436
eller2017,flottbek_fnp,NA,NA,NA,NA,NA,NA,NA,NA,greenhouse,fraxinus_excelsior,oleaceae,tree,perennial,c3,no,AM,rootshoot,-1.186756087,0.4704195,2.125762216,-1.66626181,0.538821421,1.855902459,-1.813264151,0.564396344,1.771804532,-0.554157102,0.201919313,4.952473266,-0.974552144,0.205935949,4.855878751,0.859898951,0.204621414,4.887074043,0.202297511
eller2017,flottbek_fnp,NA,NA,NA,NA,NA,NA,NA,NA,greenhouse,fraxinus_excelsior,oleaceae,tree,perennial,c3,no,AM,rmf,-1.129032258,0.463735692,2.156400763,-0.197919175,0.4019586,2.487818397,-1.428125395,0.501977107,1.99212272,-0.062935105,0.200024755,4.999381197,-0.146848578,0.200134778,4.996632815,0.146848578,0.200134778,4.996632815,0.200067378
eller2017,flottbek_fnp,NA,NA,NA,NA,NA,NA,NA,NA,greenhouse,fraxinus_excelsior,oleaceae,tree,perennial,c3,no,AM,tla,2.027938061,0.605626639,1.651182322,-0.159591367,0.40127347,2.49206607,1.043437171,0.454438056,2.20051993,1.624450021,0.216492737,4.619092609,-0.531899564,0.201768232,4.956181601,-0.416894253,0.201086255,4.972990319,0.200542392
eller2017,flottbek_fnp,NA,NA,NA,NA,NA,NA,NA,NA,greenhouse,fraxinus_excelsior,oleaceae,tree,perennial,c3,no,AM,gsw,2.293446632,0.662994873,1.50830729,2.643175445,0.749318822,1.334545418,2.608607577,0.740241674,1.350910161,1.330105169,0.211057374,4.738048159,1.230164806,0.209458159,4.774223188,-0.814682398,0.204148171,4.898402928,0.202063441
eller2017,flottbek_fnp,NA,NA,NA,NA,NA,NA,NA,NA,greenhouse,ulmus_laevis,ulmaceae,tree,perennial,c3,no,AM,bgb,2.468721137,0.704729203,1.418984762,2.194289473,0.640745315,1.560682501,2.421582667,0.693203131,1.442578597,1.582509134,0.215652095,4.637098477,0.997197536,0.206215018,4.849307331,-0.708154772,0.20313427,4.922852262,0.201561043
eller2017,flottbek_fnp,NA,NA,NA,NA,NA,NA,NA,NA,greenhouse,ulmus_laevis,ulmaceae,tree,perennial,c3,no,AM,rootshoot,-1.927781032,0.585816985,1.707017763,-1.106604414,0.461228666,2.168121959,-1.874231559,0.575637197,1.737205319,-1.730501953,0.218716481,4.572129151,-0.599019907,0.202242655,4.944555334,0.665577674,0.20276871,4.931727379,0.201379597
eller2017,flottbek_fnp,NA,NA,NA,NA,NA,NA,NA,NA,greenhouse,ulmus_laevis,ulmaceae,tree,perennial,c3,no,AM,rmf,-2.709677419,0.767117586,1.303581118,-1.35483871,0.491779396,2.033432078,-2.709677419,0.767117586,1.303581118,-2.142857143,0.22869898,4.372559955,-0.714285714,0.203188776,4.921531701,0.714285714,0.203188776,4.921531701,0.201588083
eller2017,flottbek_fnp,NA,NA,NA,NA,NA,NA,NA,NA,greenhouse,ulmus_laevis,ulmaceae,tree,perennial,c3,no,AM,tla,0.874482427,0.438235976,2.281875645,1.863754802,0.573679098,1.7431348,2.753812407,0.779174139,1.283410153,0.833704105,0.204344141,4.893705275,-0.195461728,0.200238783,4.994037543,-0.450758679,0.201269896,4.968452904,0.200633943
eller2017,flottbek_fnp,NA,NA,NA,NA,NA,NA,NA,NA,greenhouse,ulmus_laevis,ulmaceae,tree,perennial,c3,no,AM,gsw,1.386963741,0.496183421,2.015383743,0.993932689,0.449395109,2.225213357,2.301767772,0.664906744,1.503970307,1.124264475,0.207899816,4.81000906,0.907853968,0.205151243,4.87445256,-0.158740674,0.200157491,4.996065816,0.20007873
falk2010,luneberg_fnp,53.25,9.97,118,8.508333256,65.75,468.78125,1.759541667,grassland,field,molinia_caerulea,poaceae,graminoid,perennial,c3,no,AM,agb,0.362867735,0.203291825,4.91903696,1.247826367,0.238926766,4.185382896,1.058679388,0.228020051,4.385579229,0.245669583,0.100188605,9.981175022,0.906656798,0.102568833,9.749550337,-0.107230372,0.100035932,9.996408055,0.100017965
falk2010,luneberggh_fnp,NA,NA,NA,NA,NA,NA,NA,NA,greenhouse,molinia_caerulea,poaceae,graminoid,perennial,c3,no,AM,agb,6.370852474,1.214694031,0.823252584,-0.114427201,0.20032734,4.991829882,5.590457135,0.981330274,1.019024916,7.143627224,0.259473156,3.853963221,-1.011047008,0.103194425,9.690445956,-0.911599762,0.102596919,9.746881372,0.101290137
fisher2013,tambopata_fnp,-12.8387,-69.2967,198,25.29166667,208.0833333,709.4346065,1.8315,forest,field,NA,NA,NA,NA,NA,NA,NA,leaf_n_mass,0.364093837,0.457364685,2.186439036,-0.193298848,0.452075802,2.212018415,0.385318504,0.458248353,2.182222793,0.485910863,0.214053351,4.671732514,0.013883168,0.212501268,4.705854272,0.16659801,0.212682598,4.701842132,0.206243835
fisher2013,tambopata_fnp,-12.8387,-69.2967,198,25.29166667,208.0833333,709.4346065,1.8315,forest,field,NA,NA,NA,NA,NA,NA,NA,leaf_p_mass,0.358642927,0.457145819,2.187485825,0,0.45,2.222222222,0.493066841,0.463506384,2.157467588,0.497187668,0.214126287,4.67014123,0.165729223,0.212680699,4.701884125,0.165729223,0.212680699,4.701884125,0.206242914
fisher2013,tambopata_fnp,-12.8387,-69.2967,198,25.29166667,208.0833333,709.4346065,1.8315,forest,field,NA,NA,NA,NA,NA,NA,NA,leaf_np,-1.046713479,0.510867173,1.957455976,-0.388357068,0.458378956,2.181601023,-0.261774063,0.453806981,2.203580028,-0.27321791,0.212991105,4.695031738,-0.065458458,0.21252819,4.705258169,0.310216169,0.213133119,4.691903376,0.206462161
fisher2013,tono_fnp,-12.9475,-71.5327,805,23.10000022,237.9166667,725.7193287,2.037075,forest,field,NA,NA,NA,NA,NA,NA,NA,leaf_n_mass,-0.032258065,0.400052029,2.49967486,-1.080838157,0.458410556,2.181450638,-0.384436284,0.407389563,2.454652969,0.377377299,0.200890085,4.977846464,-0.765536807,0.203662791,4.910077063,0.420506134,0.201105159,4.972522863,0.200551818
fisher2013,tono_fnp,-12.9475,-71.5327,805,23.10000022,237.9166667,725.7193287,2.037075,forest,field,NA,NA,NA,NA,NA,NA,NA,leaf_p_mass,0.571250158,0.416316337,2.402019596,-0.807869721,0.432632674,2.311429671,0,0.4,2.5,0.60476251,0.202285861,4.94349925,-0.60476251,0.202285861,4.94349925,-0.120952502,0.200091434,4.997715184,0.200045712
fisher2013,tono_fnp,-12.9475,-71.5327,805,23.10000022,237.9166667,725.7193287,2.037075,forest,field,NA,NA,NA,NA,NA,NA,NA,leaf_np,-1.163707392,0.467710745,2.138073609,-0.372167107,0.406925418,2.457452782,-0.218728932,0.402392117,2.485138145,-0.462908563,0.201339277,4.966740789,0.206774718,0.200267224,4.993328323,0.588307424,0.20216316,4.946499645,0.201078671
fisher2013,sanpedro_fnp,-13.0492,-71.537,1511,20.2166667,177.4166667,673.8634259,1.676125,forest,field,NA,NA,NA,NA,NA,NA,NA,leaf_n_mass,0.227187099,0.402580699,2.483974027,0.873371844,0.492376577,2.030965825,-0.071086116,0.400252662,2.498421861,-0.505052628,0.214178146,4.669010446,0.432902252,0.213732923,4.678736359,-0.673403504,0.21548337,4.640729346,0.207597384
fisher2013,sanpedro_fnp,-13.0492,-71.537,1511,20.2166667,177.4166667,673.8634259,1.676125,forest,field,NA,NA,NA,NA,NA,NA,NA,leaf_p_mass,0.708548617,0.425102057,2.35237629,-0.37658602,0.457878724,2.183984422,0,0.4,2.5,0.654400661,0.21531737,4.644307147,-0.654400661,0.21531737,4.644307147,-0.218133554,0.212813041,4.698960152,0.206307073
